customer_no,path
434,efdfdkkkkkffffcc
435,efsscc
436,effddsdffskkkkcc
437,escc
438,efcc
439,efcc
440,eddddddddddsddddddkcc
441,effcc
442,ekkkkkddfkkdkcc
443,effcc
444,efcc
445,efksdddcc
446,edddffdcc
447,edddkkfddfffcc
448,efcc
449,ekfffcc
450,essscc
451,ekcc
452,efcc
453,edddddfkkkkskfscc
454,efffffddddkcc
455,efffkkkkkkkkkkkkssddddddkkkkssdsssscc
456,edddddddsffcc
457,eddcc
458,edcc
459,eddddddfcc
460,esdfcc
461,edddkkscc
462,esssfsdddkkkkkcc
463,edcc
464,efcc
465,eddcc
466,ekkkcc
467,essscc
468,efddddcc
469,eksdssfffkkkkkkkkcc
470,efffcc
471,effcc
472,essskkskfcc
473,effffffcc
474,eddddddddddddfcc
475,edddddddddcc
476,edddkkssddsdddddffcc
477,eddkkcc
478,effcc
479,efcc
480,effffffffdddfffddkkfddddcc
481,efffcc
482,effffffdcc
483,esscc
484,essddscc
485,efcc
486,essddkcc
487,esscc
488,ekcc
489,esskkkfsfffcc
490,effcc
491,eddddddsdddddddddfffcc
492,efffdddddddddkksssffffddddcc
493,esdddscc
494,ekcc
495,edddddddddsskcc
496,edddddddddddcc
497,effffffffffsssscc
498,edddddddddscc
499,esddkcc
500,efffcc
501,effffcc
502,edddddddkcc
503,eddddddddddddddddddffcc
504,effcc
505,esscc
506,edksskffddddssdddfffsdcc
507,ekkkkkkkkffsskkcc
508,eddddddcc
509,essskssdddddddddddfcc
510,eddddcc
511,effffcc
512,efsdddddddddcc
513,esddddcc
514,ekkkksskffcc
515,efcc
516,efcc
517,edddfcc
518,eskkkkffkcc
519,efcc
520,edcc
521,effffcc
522,efcc
523,eddddddcc
524,efffkkkcc
525,ekkkkcc
526,effdksffskksddffsssfkfssssfffffffdddddcc
527,efddddddkfcc
528,ekkkkcc
529,effffffcc
530,efffffffffffffffffffskcc
531,essfffffdddddddddfffcc
532,edddddcc
533,edddddddscc
534,effffffffddffskcc
535,esddddddddddddddddsddskcc
536,efssdddddddfffffkkcc
537,edkkkkkkcc
538,esffffsddkkkkkssscc
539,ekkkffffffffffcc
540,edcc
541,eskkkcc
542,effcc
543,effcc
544,edddsdsdddddffcc
545,edffffffffffdssfcc
546,effcc
547,escc
548,edddffkkffcc
549,esddddddddcc
550,efcc
551,esscc
552,efkkcc
553,eskcc
554,effffffkkcc
555,effcc
556,eddddddcc
557,eksdddcc
558,essdddsdddddddddddddddsdddddddddkcc
559,essscc
560,esddcc
561,ekkkkkkkcc
562,eddddffffcc
563,effcc
564,effsdffddddddddddddddddkkkkffffssssddddddcc
565,esdfdddddddddddfcc
566,edcc
567,efsddddddcc
568,eddsdscc
569,effcc
570,efffdddcc
571,eddffcc
572,esfffsffcc
573,ekkkkkcc
574,effcc
575,eddksddddddddddcc
576,esdddcc
577,efffcc
578,escc
579,effdddddddddfffffffksskcc
580,efffcc
581,ekkkffcc
582,effddddcc
583,escc
584,efffcc
585,eddsssdddddsdddddddddddkcc
586,edssdfkffsfffssssfcc
587,efdcc
588,ekkfkcc
589,ekkkfcc
590,ekcc
591,ekkkkkkkffsssdcc
592,eskkcc
593,edssdddddsssfffcc
594,efffcc
595,efffcc
596,efffkkcc
597,effddddddddcc
598,efdscc
599,ekkfffkkfffcc
600,esscc
601,eskkcc
602,effsssskkkssscc
603,edddcc
604,edddffcc
605,esdffffcc
606,efcc
607,ekkkcc
608,ekkcc
609,efcc
610,esfcc
611,eddddddcc
612,effffffcc
613,efffddddcc
614,esscc
615,effcc
616,eskkcc
617,edcc
618,efddddcc
619,effcc
620,essdddsffdddddddcc
621,efcc
622,effcc
623,edddddfscc
624,ekkkkkkkkcc
625,escc
626,escc
627,efcc
628,edssssssddfcc
629,efcc
630,edddffcc
631,esdffddddddddddddddddcc
632,ekcc
633,efffkkfdddddddfcc
634,edddfcc
635,edddddddddcc
636,esssfcc
637,edcc
638,efkfffffcc
639,efcc
640,efkkcc
641,escc
642,ekkcc
643,esddddddddcc
644,essskcc
645,efkkkkkkksscc
646,essffkkcc
647,escc
648,esdfffkcc
649,efcc
650,efcc
651,eddcc
652,ekcc
653,efffffcc
654,efffdddddddddddcc
655,eddkkcc
656,eddddskkkkksscc
657,eddddfcc
658,essksdcc
659,eddcc
660,effcc
661,efcc
662,effddsfffcc
663,efdffffcc
664,efffffcc
665,escc
666,edkfffffffffffffdddsfffddddddddddddddkkkksddddkfffffcc
667,effkcc
668,essscc
669,effffsffddddddddscc
670,edddddddddcc
671,eddfcc
672,ekcc
673,ekkksssssdcc
674,eddcc
675,efffkkcc
676,esdddddcc
677,edddddddcc
678,eskkkcc
679,edddddffcc
680,efffsddcc
681,eddcc
682,edddfdffkkkkkkcc
683,edcc
684,efcc
685,eddddddddddkcc
686,edcc
687,edcc
688,esfsdddddddddddddssdddcc
689,edddddddsssddddkcc
690,efffcc
691,edddddddddddfcc
692,esddffscc
693,efcc
694,eksddffcc
695,effffffffskfdddfcc
696,esssdskkcc
697,esdfcc
698,eddddssfkkkcc
699,edkfffdddddddfcc
700,escc
701,efffkkkcc
702,efsdcc
703,eddcc
704,edkskcc
705,esfcc
706,eddffffffffcc
707,ekcc
708,escc
709,edddddsssssddcc
710,ekkkkkkkdkfffcc
711,eddddddskcc
712,esskkkcc
713,effkkkkkkcc
714,essssdddddkcc
715,eskffffcc
716,effcc
717,eddcc
718,essfcc
719,essskskscc
720,eskfddfdddddddddddddddddddddddcc
721,effskkcc
722,efffscc
723,edksdssssssssskkkkkkkkkcc
724,efffffsffffkkkkfcc
725,edddddcc
726,edddffffcc
727,essssssdscc
728,efcc
729,ekffdddfcc
730,essdcc
731,efffffffcc
732,edkkkkkksfffcc
733,efcc
734,eddddddkkcc
735,edcc
736,edddddddddkkkssdcc
737,effcc
738,eddcc
739,efcc
740,efffffffcc
741,effskcc
742,esddddddcc
743,edddffffdddddddddddcc
744,edddddcc
745,ekkkcc
746,effsscc
747,eskkkkcc
748,effffffddddddcc
749,eskkkcc
750,eddcc
751,ekfffddsskkcc
752,effffffdffffffddddkkffcc
753,eddffffcc
754,eddddskkssffcc
755,essfffcc
756,edddddcc
757,effffffcc
758,edddcc
759,ekkfcc
760,efffdddddddddddksffkskcc
761,esssssdcc
762,eskssdddddksddkfffffdscc
763,esffdfffffkkkkcc
764,effffcc
765,edddkkfffcc
766,ekcc
767,effsddddddddddddsffffsffsdddddddcc
768,efcc
769,edddddkfsscc
770,eddddsdffcc
771,effcc
772,efffkkkkffffdddfffffcc
773,efcc
774,effffffcc
775,efffffcc
776,effskkcc
777,efcc
778,edddddskkkkkcc
779,efcc
780,eddskcc
781,efffffddcc
782,efcc
783,eddfffdsddddffsscc
784,esddfffffdddffkksfsscc
785,eskcc
786,edddddddssddddddddkfffcc
787,efcc
788,edddsfffdddddddddddcc
789,edddddfcc
790,efcc
791,efffcc
792,edskkcc
793,efffffcc
794,effdfcc
795,esfcc
796,efkssksscc
797,eddffcc
798,edddddddffffdddddddskcc
799,efkkcc
800,eddddddcc
801,effdddddddddddddddcc
802,ekkkkcc
803,efffffffcc
804,ekkksdcc
805,efffffcc
806,efddddddddddddddcc
807,edddddscc
808,eskkcc
809,edddddkkkkcc
810,effcc
811,effkkkksddkkcc
812,ekcc
813,eddcc
814,eskkkkdfcc
815,edddsscc
816,ekfkkkkksssfcc
817,efffsscc
818,effffkkcc
819,efffcc
820,effcc
821,efffdddkkkkkkcc
822,efffffcc
823,effffcc
824,effffcc
825,ekcc
826,esdddfffddddfffcc
827,eddddddkcc
828,ekksddsscc
829,esskkkkkkkkcc
830,esfcc
831,edkkkkfkkfcc
832,edddcc
833,effffskfcc
834,edkkkcc
835,ekkcc
836,edddddkffsffdddddddddddddsffsddddddddddddddddddcc
837,eskkkkkfcc
838,effdkkkffffcc
839,edcc
840,edcc
841,eddcc
842,efffdddfcc
843,ekskcc
844,edddddddkkkkcc
845,effdddddffdddsksddcc
846,esdkkkkkkkkffffffffcc
847,ekcc
848,eddddddddddfffffcc
849,ekkskkcc
850,effcc
851,ekkkkkskkffffffcc
852,eddddcc
853,esfcc
854,eddddddddddcc
855,edddddddkkfcc
856,efkssscc
857,efffffdddkkkkkcc
858,efcc
859,efffssfcc
860,ekcc
861,eskkcc
862,ekssffcc
863,edcc
864,esscc
865,esdddddssddddsddkkkcc
866,effffdcc
867,ekkkffffffdcc
868,efcc
869,efffffddddfffffkkkkcc
870,effddddffcc
871,ekkkkkcc
872,ekkkkfffcc
873,ekkkcc
874,esddcc
875,eskffscc
876,eddddddcc
877,efffcc
878,eddcc
879,effsddddfscc
880,eddkkcc
881,essddddddddcc
882,edddddddddddddddddddddddddddksddfffcc
883,efcc
884,esskcc
885,edcc
886,edcc
887,eskfffffssdcc
888,efkkkksskkkkkkcc
889,edkskkksskcc
890,effskkkkcc
891,efcc
892,escc
893,efcc
894,ekcc
895,effcc
896,escc
897,eddddkcc
898,efcc
899,efcc
900,edkksffcc
901,eddkffffcc
902,esscc
903,esfskkkcc
904,eskfffffcc
905,esksffcc
906,efcc
907,effcc
908,essksscc
909,esfffffffffcc
910,essdcc
911,efddffffdkkkkkkcc
912,escc
913,ekkkkssfkcc
914,efcc
915,eskksssddddddddkkcc
916,escc
917,escc
918,edkdkcc
919,effssskffffffffffffkcc
920,esdddkcc
921,esfdddddddskkkkcc
922,effffcc
923,eddddkkcc
924,esdcc
925,edcc
926,efcc
927,effsdddddddcc
928,efcc
929,edfcc
930,edcc
931,essscc
932,effdkcc
933,edkksskkkkkscc
934,efffffffcc
935,edcc
936,ekkcc
937,ekfkcc
938,edddddddkkcc
939,efddddddddddddcc
940,eddfffkkfsdddkkkkcc
941,eddddddsdcc
942,effffffffddfdddddfdcc
943,efddfffffcc
944,efffcc
945,edddddddddkkkcc
946,ekkssssddcc
947,esssddddffkkkksksdfffcc
948,efcc
949,eskkfffcc
950,ekcc
951,efffffffsddddkcc
952,edddddddddfffcc
953,edcc
954,efcc
955,edfffcc
956,edsssksscc
957,ekcc
958,efffffffffcc
959,edcc
960,efffffcc
961,esscc
962,effcc
963,ekcc
964,edcc
965,edddffffcc
966,efdddddffsfcc
967,efffffksssskfffffffffffffffssssdfddddddcc
968,edcc
969,efffffddcc
970,effcc
971,essddddddsddcc
972,efdddkkkskkkkkkkkkfffffddcc
973,eddddddcc
974,eddfcc
975,eddkkfcc
976,effcc
977,effkcc
978,efdddkcc
979,efdkcc
980,efffcc
981,esfkkkcc
982,ekkkkkfcc
983,ekfffdcc
984,ekcc
985,ekkkkkkcc
986,effdfdfkcc
987,ekcc
988,ekdkkkcc
989,edddfddkfcc
990,efddddddddddkkcc
991,efffcc
992,efffffcc
993,efssddddddskkkkkssskscc
994,efffffffcc
995,efkcc
996,ekkcc
997,effffkksffffdddcc
998,edddddddddddddddcc
999,eddfffcc
1000,eddddddkcc
1001,efcc
1002,ekkkcc
1003,effdddddcc
1004,ekkkcc
1005,efffffsdddddffcc
1006,edfffcc
1007,efcc
1008,esfcc
1009,edkcc
1010,escc
1011,edddkkfcc
1012,eddddddddsscc
1013,ekkdkkksssdkcc
1014,edcc
1015,efssskkcc
1016,ekkkksssdcc
1017,efcc
1018,eskkkkkcc
1019,efffkkkfcc
1020,efffffffffffffssssssskkkcc
1021,edddddddddddddddffcc
1022,effffffffcc
1023,effdddcc
1024,edskcc
1025,effcc
1026,escc
1027,efcc
1028,efffsfffcc
1029,effffcc
1030,ekcc
1031,edsdscc
1032,ekdkkcc
1033,efffddddddddffffskkkkcc
1034,esssdsscc
1035,eddkkcc
1036,edsssddkkkkffcc
1037,eddkkkkfffffffkcc
1038,ekksdcc
1039,edddddddddssscc
1040,edfcc
1041,edddscc
1042,eskkkfcc
1043,effkkkffcc
1044,edffkkssskcc
1045,edddddddddkkkkssssffcc
1046,effsssddddddddddddddfcc
1047,ekkkcc
1048,edddsddddddssskkkkkkkkkkcc
1049,essskkkcc
1050,efcc
1051,ekkcc
1052,escc
1053,efffffcc
1054,eddcc
1055,ekkfkkkcc
1056,edffffscc
1057,edkcc
1058,efcc
1059,effffffffcc
1060,efffdddddcc
1061,ekkfcc
1062,eddddddcc
1063,edksfdsffddcc
1064,edcc
1065,effddddsfcc
1066,eddddscc
1067,effffcc
1068,edkcc
1069,ekkkfkkfcc
1070,eddddddkkcc
1071,eskkfdcc
1072,efcc
1073,efcc
1074,efffcc
1075,efffcc
1076,ekkcc
1077,efcc
1078,essksddddkkkcc
1079,effcc
1080,esskffffffffkcc
1081,ekfffddsddddddsdddcc
1082,efffcc
1083,eddddfffcc
1084,efffcc
1085,eddssdcc
1086,efcc
1087,eddddkkksskkcc
1088,edddddddddddsssssddcc
1089,escc
1090,eskkkkkkkcc
1091,efffcc
1092,edfffcc
1093,eskkkkkkkkcc
1094,edffcc
1095,edkfffkkcc
1096,ekkkkssskcc
1097,efffkkkskkkcc
1098,eskcc
1099,ekkkfcc
1100,essdddcc
1101,esdddddkcc
1102,efddddddddddkkcc
1103,efcc
1104,eddddddkkkkkkkkkcc
1105,efkkkkfffcc
1106,efffcc
1107,effcc
1108,ekcc
1109,efffddddddssscc
1110,ekfffcc
1111,eskcc
1112,escc
1113,edcc
1114,edcc
1115,effdssffcc
1116,ekkkkcc
1117,effkkkfcc
1118,edcc
1119,ekkkcc
1120,eskkcc
1121,ekcc
1122,edddddcc
1123,efdddcc
1124,ekkkkkkffcc
1125,effffcc
1126,edcc
1127,ekcc
1128,escc
1129,edskkcc
1130,eskkkcc
1131,edddkkkkfcc
1132,edfcc
1133,ekkcc
1134,effsddffffffffffcc
1135,eskkkkkkkcc
1136,effddfsssdddscc
1137,edddddddddskkkcc
1138,efdddddfssddddssscc
1139,edddddsdddkcc
1140,ekkkscc
1141,eddddcc
1142,efddkkkfdddddddddddddkkkkkkcc
1143,esdddddddsdkffffcc
1144,ekkkcc
1145,edskkkkkkkcc
1146,eddddddddcc
1147,ekkkkkcc
1148,efcc
1149,esksddddddddddddddddddddddddddkkkscc
1150,effddddddddddssddffcc
1151,eddddddddcc
1152,edddddssssdddsssscc
1153,ekkkfdfffdffffcc
1154,eddddddddddcc
1155,ekfdkkkkkcc
1156,efdsskkkkcc
1157,esdcc
1158,effcc
1159,esscc
1160,esdddcc
1161,ekkkkcc
1162,essffffffffffcc
1163,edkcc
1164,efkcc
1165,eddddddddddddddddddsfddddfffffcc
1166,eskkffffcc
1167,escc
1168,efffcc
1169,edcc
1170,ekkcc
1171,efffcc
1172,esssssdddcc
1173,escc
1174,efffffcc
1175,effcc
1176,efcc
1177,ekkkkkkkcc
1178,efffffcc
1179,eddcc
1180,edddssffcc
1181,eddcc
1182,edcc
1183,ekkkcc
1184,edkkkcc
1185,edkcc
1186,efdkkffcc
1187,edkcc
1188,efdddddcc
1189,edddddddddddddddddsskssffcc
1190,eskkcc
1191,edddddddcc
1192,ekkkfsfcc
1193,ekkkcc
1194,efddddcc
1195,efdskkfkkkcc
1196,escc
1197,esddkcc
1198,ekkkkkcc
1199,ekcc
1200,efcc
1201,eddddddcc
1202,efcc
1203,edskkkcc
1204,ekkcc
1205,edddsddfkkffddcc
1206,escc
1207,efcc
1208,ekkkkfffcc
1209,ekcc
1210,eskcc
1211,effcc
1212,eddssffffffffdddddfsdddfffffdddddddcc
1213,efddddddfffffdddcc
1214,eskscc
1215,ekcc
1216,edddkkkkkkkksfdddddddcc
1217,effffcc
1218,eddcc
1219,eddddddkkkcc
1220,effdddddddcc
1221,efsddddddfkkcc
1222,efkcc
1223,efffcc
1224,efffffffkkkkcc
1225,efffffddsscc
1226,eddcc
1227,efcc
1228,ekcc
1229,edfcc
1230,eddsfffskfkkkkkkfddddddddsscc
1231,esddsddkkffffcc
1232,effskkcc
1233,esscc
1234,efkkkkscc
1235,efffddddddcc
1236,esffcc
1237,ekkfcc
1238,efffddddddsdscc
1239,ekkkkkscc
1240,eskffcc
1241,effkkkcc
1242,ekcc
1243,eddscc
1244,edddcc
1245,efssddffffcc
1246,efffffcc
1247,eksssskscc
1248,efscc
1249,eddddkkffffffcc
1250,escc
1251,effkkkkffcc
1252,ekkcc
1253,ekkdffdkffcc
1254,eskkkkkkcc
1255,eksfscc
1256,ekcc
1257,efffkkffcc
1258,esskkcc
1259,eskkkkkkfffffcc
1260,esssscc
1261,effdddcc
1262,ekfkkkcc
1263,efdffcc
1264,eddsscc
1265,effffcc
1266,edcc
1267,edkkkkkkkkkkscc
1268,eskkcc
1269,efffddscc
1270,efcc
1271,effscc
1272,efcc
1273,effcc
1274,efcc
1275,essscc
1276,edddddddsddcc
1277,essskkkfcc
1278,edcc
1279,esssffcc
1280,ekfcc
1281,ekcc
1282,edsssdddcc
1283,effffcc
1284,edkkkkkkkkkkffkkkkkkkkkcc
1285,effffcc
1286,effffcc
1287,eddddddddddddddddcc
1288,edddfkkkssffffsskcc
1289,eddddcc
1290,effffcc
1291,edddddsdddddssfsfcc
1292,eskkkssskkcc
1293,edcc
1294,ekksscc
1295,ekkkkskcc
1296,edkdkkcc
1297,efffddsdddfcc
1298,edcc
1299,ekdcc
1300,ekkcc
1301,effcc
1302,efffsskfffffddddddddddddddcc
1303,ekkkcc
1304,esddddssskkkkkkkkkkkkkkkkscc
1305,essscc
1306,effkscc
1307,efdfffcc
1308,efkcc
1309,edcc
1310,eskkcc
1311,ekcc
1312,effddddddddddddcc
1313,efdfcc
1314,esffkssskkcc
1315,effffdsssddddddddkkkkkkkcc
1316,ekcc
1317,ekkkcc
1318,ekkkffffffkfffkcc
1319,eddsddcc
1320,efcc
1321,ekkcc
1322,esfddddddddddddddssddcc
1323,efcc
1324,ekkcc
1325,effddkkkkkkkcc
1326,edfffffcc
1327,efddddddddddffscc
1328,ekcc
1329,ekkdkcc
1330,edddfddddsffsdddddddddddddcc
1331,ekdkdkkkkcc
1332,esssskffcc
1333,ekkkfdkcc
1334,efffddddcc
1335,ekcc
1336,efffdddfcc
1337,edkkkfffkkkcc
1338,efcc
1339,efdddddddddddcc
1340,edkkkkfsdddsssscc
1341,eddddddddcc
1342,efffffcc
1343,esssffkkcc
1344,ekkcc
1345,efssfcc
1346,ekcc
1347,efcc
1348,efkssskkcc
1349,essskkkkkkkfdddkcc
1350,edkffffddkcc
1351,ekkkkdkskkkkkkkkfkkkkkkkkkkkscc
1352,ekffffffcc
1353,edddcc
1354,esskkkkkcc
1355,eddddcc
1356,eddddddddddddddcc
1357,ekkcc
1358,esddkkcc
1359,efcc
1360,edddddddddkkkkkcc
1361,esddddsfcc
1362,escc
1363,escc
1364,eksssskkkkcc
1365,edkkdddkkkcc
1366,effskkkkkcc
1367,ekdcc
1368,edkkcc
1369,ekkkkcc
1370,ekkffcc
1371,essfffscc
1372,efddddcc
1373,escc
1374,effffffkcc
1375,eddcc
1376,ekkkkcc
1377,ekkcc
1378,essdddddcc
1379,edddddkkfffcc
1380,eddkkkkssdddddddddcc
1381,ekkfdcc
1382,eksddddkskfdddffcc
1383,effcc
1384,effcc
1385,efkfffcc
1386,edcc
1387,ekkfcc
1388,efffffffsssddddcc
1389,edsssffcc
1390,effffkkcc
1391,edkkkcc
1392,efcc
1393,ekkkcc
1394,efkkkkcc
1395,effffffcc
1396,efssfcc
1397,ekkkkcc
1398,effffkkkkcc
1399,eddddddddddddddddcc
1400,edddddkkcc
1401,eddddsscc
1402,efffcc
1403,edcc
1404,edddddcc
1405,edddddddcc
1406,essfcc
1407,efffffffcc
1408,efffffscc
1409,ekkfcc
1410,ekkfcc
1411,effcc
1412,efcc
